User_id,User_name,DOB,PIN,City,State,Married,No_of_children,No_of_dependents,Source_of_income,Age
U100801,Yash Verma,1989-10-29,825302,Hazaribagh,Jharkhand,0,0,2,Teacher,34
U100994,Ishaan Chaudhary,1999-03-09,834009,Ranchi,Jharkhand,0,0,2,Software Engineer,25
U100968,Ishaan Agarwal,1990-12-30,831001,Jamshedpur,Jharkhand,1,1,1,Engineer,33
U100877,Priya Chopra,1995-11-14,831004,Jamshedpur,Jharkhand,1,1,1,Salesperson,28
U100813,Arjun Shetty,1993-09-30,834006,Ranchi,Jharkhand,0,0,5,Accountant,30
U100867,Aryan Kapoor,1995-02-12,827003,Bokaro,Jharkhand,0,0,4,Doctor,29
U100820,Karan Desai,1998-09-01,831004,Jamshedpur,Jharkhand,0,0,0,Clerk,25
U100896,Aisha Deshpande,1992-07-24,814113,Deoghar,Jharkhand,1,2,2,Nurse,31
U100971,Kiara Patel,1994-06-26,834009,Ranchi,Jharkhand,1,0,2,Engineer,30
U100871,Ishita Kamath,1993-01-20,834005,Ranchi,Jharkhand,1,0,2,Engineer,31
U100817,Sia Majumdar,1997-09-25,825304,Hazaribagh,Jharkhand,0,0,2,Manager,26
U100985,Alia Sharma,1990-05-21,815303,Giridih,Jharkhand,1,1,4,Teacher,34
U100818,Ishaan Dutta,1996-01-06,826004,Dhanbad,Jharkhand,1,2,4,Clerk,28
U100807,Ishaan Sengupta,1992-03-04,827003,Bokaro,Jharkhand,0,0,0,Engineer,32
U100966,Priya Lahiri,1990-06-08,825304,Hazaribagh,Jharkhand,0,0,7,Farmer,34
U100832,Aisha Chatterjee,1989-04-15,826003,Dhanbad,Jharkhand,0,0,4,Farmer,35
U100958,Kiara Chatterjee,1993-11-13,834007,Ranchi,Jharkhand,1,2,5,Software Engineer,30
U100901,Rohan Sharma,1996-02-18,834006,Ranchi,Jharkhand,1,0,3,Nurse,28
U100866,Yash Basu,1990-11-12,814113,Deoghar,Jharkhand,0,0,3,Teacher,33
U100807,Priya Majumdar,1989-01-10,827004,Bokaro,Jharkhand,0,0,3,Engineer,35
U100841,Avni Ghosh,1998-06-19,827005,Bokaro,Jharkhand,1,1,0,Doctor,26
U100948,Karan Basu,1994-03-22,826003,Dhanbad,Jharkhand,1,1,5,Salesperson,30
U100872,Ishaan Shah,1996-09-10,825301,Hazaribagh,Jharkhand,0,4,2,Nurse,27
U100871,Tara Shah,1994-05-16,814112,Deoghar,Jharkhand,0,0,0,Accountant,30
U100812,Dhruv Basu,1998-05-28,826005,Dhanbad,Jharkhand,1,3,3,Teacher,26
U100963,Diya Kulkarni,1989-05-24,831002,Jamshedpur,Jharkhand,1,2,2,Software Engineer,35
U100900,Alia Patil,1991-09-04,825304,Hazaribagh,Jharkhand,0,0,7,Engineer,32
U100902,Rohan Nair,1994-04-21,827004,Bokaro,Jharkhand,0,0,1,Manager,30
U100945,Ishaan Sharma,1990-06-04,826003,Dhanbad,Jharkhand,1,1,1,Farmer,34
U100831,Alia Ghosh,1992-08-21,826002,Dhanbad,Jharkhand,0,0,5,Doctor,31
U100863,Aryan Sethi,1989-01-09,814114,Deoghar,Jharkhand,1,1,3,Manager,35
U100892,Karan Nair,1998-06-04,814114,Deoghar,Jharkhand,0,0,4,Teacher,26
U100801,Sahil Basu,1996-04-02,831002,Jamshedpur,Jharkhand,0,0,0,Clerk,28
U100806,Avni Sharma,1992-05-13,826003,Dhanbad,Jharkhand,1,1,5,Teacher,32
U100823,Vihaan Mehra,1998-01-02,815304,Giridih,Jharkhand,1,2,3,Clerk,26
U100867,Aryan Chopra,1999-04-19,815303,Giridih,Jharkhand,0,0,1,Nurse,25
U100884,Avni Banerjee,1999-05-25,831004,Jamshedpur,Jharkhand,1,3,2,Doctor,25
U100886,Sia Mehra,1996-06-08,831003,Jamshedpur,Jharkhand,1,1,3,Engineer,28
U100835,Yash Iyer,1998-09-18,834003,Ranchi,Jharkhand,1,3,2,Salesperson,25
U100837,Aisha Rane,1991-09-18,826004,Dhanbad,Jharkhand,1,1,2,Accountant,32
U100836,Karan Lahiri,1998-12-07,814114,Deoghar,Jharkhand,0,0,5,Nurse,25
U100914,Vihaan Mehta,1992-08-13,814112,Deoghar,Jharkhand,1,5,3,Accountant,31
U100919,Avni Reddy,1999-04-28,814115,Deoghar,Jharkhand,1,3,0,Farmer,25
U100905,Vihaan Gupta,1995-05-18,834009,Ranchi,Jharkhand,0,0,2,Farmer,29
U100905,Alia Lahiri,1992-11-24,814112,Deoghar,Jharkhand,1,2,2,Manager,31
U100813,Kiara Chatterjee,1998-09-24,834007,Ranchi,Jharkhand,0,0,2,Accountant,25
U100956,Avni Reddy,1998-06-18,826002,Dhanbad,Jharkhand,1,0,2,Doctor,26
U100970,Diya Iyer,1998-04-21,831005,Jamshedpur,Jharkhand,1,3,1,Doctor,26
U100888,Nisha Malhotra,1995-06-20,825301,Hazaribagh,Jharkhand,0,0,2,Clerk,29
U100809,Aryan Rao,1992-11-16,826002,Dhanbad,Jharkhand,0,0,5,Clerk,31
U100888,Ishaan Reddy,1998-12-21,831001,Jamshedpur,Jharkhand,0,0,3,Manager,25
U100899,Sia Joshi,1996-11-22,825304,Hazaribagh,Jharkhand,1,3,5,Manager,27
U100984,Aditya Iyengar,1991-12-08,834002,Ranchi,Jharkhand,0,0,3,Doctor,32
U100866,Ishita Ghosh,1990-05-14,831003,Jamshedpur,Jharkhand,1,3,3,Nurse,34
U100870,Ishita Joshi,1990-03-21,815303,Giridih,Jharkhand,1,3,3,Manager,34
U100847,Kiara Dutta,1997-05-16,826003,Dhanbad,Jharkhand,0,0,2,Salesperson,27
U100997,Yash Sethi,1988-10-04,831001,Jamshedpur,Jharkhand,1,3,4,Nurse,35
U100891,Yash Patil,1990-08-12,827004,Bokaro,Jharkhand,0,0,0,Clerk,33
U100860,Ishaan Gupta,1998-07-18,834002,Ranchi,Jharkhand,0,0,4,Clerk,25
U100973,Aditya Iyengar,1994-12-31,826004,Dhanbad,Jharkhand,0,0,0,Manager,29
U100952,Alia Pillai,1994-03-16,834005,Ranchi,Jharkhand,1,0,0,Manager,30
U100917,Sahil Reddy,1995-06-30,814115,Deoghar,Jharkhand,1,1,2,Salesperson,29
U100881,Aisha Verma,1989-03-15,826002,Dhanbad,Jharkhand,0,0,1,Manager,35
U100971,Karan Malhotra,1995-12-27,834008,Ranchi,Jharkhand,0,0,5,Teacher,28
U100808,Rohan Banerjee,1990-10-09,827003,Bokaro,Jharkhand,1,0,3,Salesperson,33
U100947,Rohan Patil,1989-02-21,827005,Bokaro,Jharkhand,1,0,0,Engineer,35
U100815,Alia Pillai,1995-02-22,834006,Ranchi,Jharkhand,0,0,2,Doctor,29
U100836,Aditya Sharma,1995-06-05,826003,Dhanbad,Jharkhand,0,0,0,Accountant,29
U100878,Diya Dutta,1988-11-27,831001,Jamshedpur,Jharkhand,0,0,4,Software Engineer,35
U100976,Diya Kulkarni,1990-07-22,834006,Ranchi,Jharkhand,0,0,0,Doctor,33
U100908,Sia Rane,1996-05-12,826004,Dhanbad,Jharkhand,0,0,4,Accountant,28
U100920,Arjun Sharma,1998-11-27,834004,Ranchi,Jharkhand,1,2,3,Doctor,25
U100940,Kiara Sethi,1993-10-26,825304,Hazaribagh,Jharkhand,0,0,2,Software Engineer,30
U100835,Karan Gupta,1999-01-06,815303,Giridih,Jharkhand,0,0,2,Farmer,25
U100857,Sia Kamath,1997-03-18,831005,Jamshedpur,Jharkhand,0,0,5,Teacher,27
U100917,Diya Mukherjee,1990-03-21,827004,Bokaro,Jharkhand,1,1,4,Accountant,34
U100885,Arjun Chaudhary,1993-11-18,834008,Ranchi,Jharkhand,0,0,1,Salesperson,30
U100902,Aditya Chatterjee,1990-06-26,834003,Ranchi,Jharkhand,0,0,5,Salesperson,34
U100823,Sia Mukherjee,1998-12-07,826001,Dhanbad,Jharkhand,0,0,2,Doctor,25
U100936,Yash Verma,1993-05-11,825304,Hazaribagh,Jharkhand,0,0,3,Teacher,31
U100812,Ishaan Chatterjee,1989-09-28,827005,Bokaro,Jharkhand,1,1,3,Teacher,34
U100960,Yash Sharma,1991-08-12,834006,Ranchi,Jharkhand,1,1,0,Accountant,32
U100994,Arjun Mehta,1992-11-16,814112,Deoghar,Jharkhand,0,0,1,Doctor,31
U100924,Ishita Iyengar,1989-11-27,826005,Dhanbad,Jharkhand,0,5,1,Nurse,34
U100851,Ishita Banerjee,1988-12-08,826005,Dhanbad,Jharkhand,0,0,2,Teacher,35
U100958,Nisha Shah,1995-10-20,825303,Hazaribagh,Jharkhand,1,3,2,Salesperson,28
U100918,Sia Chatterjee,1989-05-08,814113,Deoghar,Jharkhand,0,0,4,Teacher,35
U100962,Priya Kulkarni,1996-10-12,815301,Giridih,Jharkhand,1,0,3,Accountant,27
U100875,Vihaan Joshi,1995-02-17,827004,Bokaro,Jharkhand,1,3,3,Engineer,29
U100940,Sahil Rao,1990-11-16,831005,Jamshedpur,Jharkhand,0,0,1,Doctor,33
U100825,Dhruv Malhotra,1999-06-22,825301,Hazaribagh,Jharkhand,1,1,4,Teacher,25
U100901,Yash Mukherjee,1994-08-17,831003,Jamshedpur,Jharkhand,1,1,3,Manager,29
U100949,Karan Lahiri,1990-05-11,815304,Giridih,Jharkhand,1,3,2,Farmer,34
U100875,Kiara Rane,1996-12-26,825303,Hazaribagh,Jharkhand,1,2,1,Salesperson,27
U100957,Avni Patel,1993-03-16,834001,Ranchi,Jharkhand,0,0,3,Engineer,31
U100902,Ishaan Mehta,1998-02-12,825302,Hazaribagh,Jharkhand,1,3,4,Manager,26
U100831,Sia Desai,1998-03-03,815303,Giridih,Jharkhand,0,0,3,Manager,26
U100970,Arjun Shetty,1990-10-30,814115,Deoghar,Jharkhand,0,0,1,Software Engineer,33
U100823,Vihaan Kamath,1996-11-12,827001,Bokaro,Jharkhand,0,0,2,Doctor,27
U100958,Ishaan Rao,1997-06-14,827004,Bokaro,Jharkhand,1,0,3,Accountant,27
U100823,Diya Patel,1994-04-13,831002,Jamshedpur,Jharkhand,1,0,2,Salesperson,30
U100894,Ishita Gupta,1999-05-25,815304,Giridih,Jharkhand,1,2,0,Manager,25
U100810,Sia Rao,1994-01-25,831005,Jamshedpur,Jharkhand,1,1,0,Engineer,30
U100950,Sia Naik,1996-04-26,814114,Deoghar,Jharkhand,1,3,5,Clerk,28
U100901,Sahil Mehra,1998-02-18,827001,Bokaro,Jharkhand,1,0,0,Software Engineer,26
U100865,Dhruv Pillai,1995-11-24,815303,Giridih,Jharkhand,1,2,4,Engineer,28
U100810,Ishita Basu,1993-04-10,815304,Giridih,Jharkhand,1,1,3,Clerk,31
U100998,Arjun Rao,1992-10-24,834006,Ranchi,Jharkhand,1,0,2,Manager,31
U100837,Nisha Dutta,1997-08-27,825304,Hazaribagh,Jharkhand,0,0,8,Engineer,26
U100925,Kiara Shah,1993-05-16,834002,Ranchi,Jharkhand,0,0,3,Salesperson,31
U100829,Ishita Majumdar,1997-01-07,834005,Ranchi,Jharkhand,0,0,1,Engineer,27
U100979,Kiara Kapoor,1991-12-26,831001,Jamshedpur,Jharkhand,0,0,4,Farmer,32
U100922,Vihaan Ghosh,1997-10-15,827004,Bokaro,Jharkhand,1,1,5,Accountant,26
U100815,Dhruv Dutta,1993-07-11,826003,Dhanbad,Jharkhand,0,0,4,Clerk,30
U100838,Dhruv Mehra,1995-11-13,827002,Bokaro,Jharkhand,1,3,0,Salesperson,28
U100820,Yash Lahiri,1997-10-20,815303,Giridih,Jharkhand,1,3,2,Engineer,26
U100913,Aditya Chatterjee,1997-12-01,826005,Dhanbad,Jharkhand,0,0,1,Clerk,26
U100881,Diya Verma,1991-02-03,815304,Giridih,Jharkhand,0,0,2,Accountant,33
U100975,Aryan Majumdar,1992-11-10,831004,Jamshedpur,Jharkhand,1,2,7,Doctor,31
U100863,Avni Shah,1998-06-22,834005,Ranchi,Jharkhand,1,0,4,Software Engineer,26
U100847,Avni Menon,1997-09-17,814112,Deoghar,Jharkhand,0,0,5,Engineer,26
U100810,Priya Sengupta,1997-09-16,834008,Ranchi,Jharkhand,0,0,2,Salesperson,26
U100874,Ishita Iyer,1999-02-22,831004,Jamshedpur,Jharkhand,1,3,5,Engineer,25
U100883,Vihaan Rao,1988-12-25,815301,Giridih,Jharkhand,1,1,4,Accountant,35
U100890,Tara Verma,1990-03-28,826003,Dhanbad,Jharkhand,0,0,5,Nurse,34
U100945,Rohan Nair,1997-04-17,831001,Jamshedpur,Jharkhand,0,0,3,Teacher,27
U100863,Aryan Agarwal,1995-11-04,826001,Dhanbad,Jharkhand,0,0,4,Farmer,28
U100851,Vihaan Kamath,1989-09-29,834007,Ranchi,Jharkhand,1,2,3,Nurse,34
U100945,Dhruv Basu,1989-11-06,834002,Ranchi,Jharkhand,1,2,0,Software Engineer,34
U100937,Alia Majumdar,1989-12-05,834002,Ranchi,Jharkhand,1,2,2,Manager,34
U100877,Kiara Kulkarni,1995-12-25,834006,Ranchi,Jharkhand,0,0,4,Manager,28
U100914,Ishita Mehra,1991-05-27,825301,Hazaribagh,Jharkhand,0,0,5,Teacher,33
U100820,Aisha Menon,1992-07-09,814115,Deoghar,Jharkhand,0,0,4,Salesperson,32
U100878,Rohan Verma,1998-02-19,826003,Dhanbad,Jharkhand,1,2,6,Salesperson,26
U100982,Karan Chatterjee,1991-10-16,815301,Giridih,Jharkhand,1,0,1,Software Engineer,32
U100938,Sahil Gupta,1997-02-08,814115,Deoghar,Jharkhand,0,0,2,Manager,27
U100917,Dhruv Nair,1990-11-03,826003,Dhanbad,Jharkhand,0,0,2,Accountant,33
U100837,Ishita Chopra,1994-12-15,834002,Ranchi,Jharkhand,0,0,0,Farmer,29
U100969,Tara Ghosh,1992-09-11,831003,Jamshedpur,Jharkhand,1,2,0,Farmer,31
U100810,Diya Iyengar,1990-02-06,826004,Dhanbad,Jharkhand,0,0,2,Salesperson,34
U100972,Karan Iyengar,1991-10-12,814114,Deoghar,Jharkhand,0,0,3,Doctor,32
U100960,Priya Sharma,1998-08-29,815304,Giridih,Jharkhand,1,3,5,Manager,25
U100898,Aryan Rane,1998-11-29,815301,Giridih,Jharkhand,1,0,0,Doctor,25
U100996,Sia Pai,1993-05-21,826003,Dhanbad,Jharkhand,1,3,3,Clerk,31
U100804,Ishaan Ghosh,1988-09-08,834002,Ranchi,Jharkhand,0,0,5,Salesperson,35
U100937,Sahil Shetty,1991-08-25,834007,Ranchi,Jharkhand,1,0,2,Teacher,32
U100834,Tara Ghosh,1992-11-15,826001,Dhanbad,Jharkhand,1,3,1,Salesperson,31
U100854,Vihaan Chatterjee,1991-04-03,826005,Dhanbad,Jharkhand,0,0,4,Accountant,33
U100962,Arjun Naik,1988-09-01,815301,Giridih,Jharkhand,0,0,0,Salesperson,35
U100878,Ishaan Malhotra,1995-03-13,834009,Ranchi,Jharkhand,1,3,4,Software Engineer,29
U100824,Diya Sarkar,1991-01-25,831002,Jamshedpur,Jharkhand,1,0,3,Doctor,33
U100968,Rohan Chaudhary,1997-05-02,815302,Giridih,Jharkhand,1,3,5,Accountant,27
U100848,Ishita Chopra,1989-11-05,815303,Giridih,Jharkhand,0,0,0,Engineer,34
U100848,Alia Kapoor,1991-09-16,827002,Bokaro,Jharkhand,0,0,0,Accountant,32
U100849,Arjun Shah,1997-05-02,831002,Jamshedpur,Jharkhand,1,1,0,Farmer,27
U100990,Kiara Verma,1994-11-19,815301,Giridih,Jharkhand,1,1,1,Engineer,29
U100822,Priya Verma,1998-12-11,834003,Ranchi,Jharkhand,0,0,2,Engineer,25
U100895,Ishita Chaudhary,1999-02-09,834004,Ranchi,Jharkhand,0,0,0,Accountant,25
